EventID,Multiplicity,Hits_Board1,Hits_Board2,Mean_ADC
0,2,[],"[53, 55]",8138.0
10,2,[],"[58, 59]",7064.5
11,3,[1],"[38, 39]",8086.666666666667
13,7,"[2, 15, 24, 25, 27, 55]",[22],7016.285714285715
17,3,"[0, 32]",[43],7833.666666666667
19,1,[4],[],8158.0
20,3,[0],"[50, 53]",7018.333333333333
23,3,[2],"[48, 57]",6339.666666666667
24,3,"[4, 33]",[63],7857.666666666667
31,4,[],"[53, 54, 55, 56]",7484.5
32,3,"[17, 55]",[18],6363.666666666667
34,3,"[13, 22]",[38],7656.666666666667
36,6,[0],"[41, 46, 47, 51, 63]",7321.666666666667
39,2,[34],[60],6824.5
40,1,[],[40],7681.0
44,5,[0],"[45, 47, 50, 54]",7917.6
48,2,[17],[56],7328.5
53,5,[10],"[36, 42, 43, 44]",8039.6
57,5,[57],"[3, 6, 26, 28]",7612.0
58,1,[4],[],6150.0
59,0,[],[],0
62,5,[19],"[34, 37, 38, 39]",6699.6
69,2,[6],[61],7369.0
81,2,[2],[50],7126.0
84,5,[1],"[52, 53, 54, 55]",8144.0
88,4,"[3, 42, 50]",[12],6846.25
90,6,"[0, 36, 37, 38, 40]",[53],7124.833333333333
97,3,[20],"[29, 49]",7234.666666666667
99,5,"[28, 41, 47, 49]",[61],7004.4
100,2,[],"[37, 38]",8153.0
102,5,"[29, 30, 48, 60]",[46],5844.4
107,2,[1],[39],7040.5
108,3,"[59, 63]",[59],7723.666666666667
109,5,[17],"[12, 34, 48, 55]",7646.2
119,7,"[51, 52, 53, 54, 55, 56]",[32],7367.857142857143
121,4,[45],"[48, 49, 50]",8166.75
127,2,[],"[55, 56]",8151.5
138,1,[],[56],7334.0
141,4,[2],"[38, 40, 41]",7547.0
144,2,[],"[48, 49]",8191.0
148,5,"[2, 4, 6, 7]",[30],8170.2
149,6,[55],"[5, 15, 29, 33, 37]",6436.5
151,3,[],"[46, 47, 56]",7615.666666666667
152,3,[5],"[33, 34]",7650.666666666667
153,3,"[12, 13]",[50],7977.333333333333
157,5,[],"[24, 25, 26, 27, 57]",7731.8
161,5,[54],"[47, 48, 49, 52]",7605.2
165,3,[51],"[17, 59]",7467.333333333333
