EventID,Multiplicity,Hits_Board1,Hits_Board2,Mean_ADC
1,4,[10],"[51, 59, 61]",7398.5
2,3,"[19, 29]",[13],6932.0
4,3,"[14, 21]",[60],6652.333333333333
6,3,[8],"[39, 47]",6877.666666666667
9,2,[49],[5],6221.0
18,1,[46],[],7635.0
20,4,"[32, 33, 49]",[6],6403.0
21,2,[43],[53],8101.5
23,3,[8],"[3, 52]",7988.0
24,4,"[4, 6, 7]",[27],8068.5
32,3,[1],"[45, 47]",7781.333333333333
35,8,"[10, 15, 16, 35, 39, 40, 48]",[1],6770.75
36,1,[32],[],8149.0
43,4,"[3, 32, 45]",[18],6672.75
48,1,[53],[],7910.0
53,2,[30],[15],7503.5
54,5,[20],"[2, 37, 38, 41]",7758.6
56,5,[0],"[39, 40, 42, 43]",7664.6
59,3,"[4, 5]",[62],7571.666666666667
66,5,[],"[36, 49, 55, 56, 57]",7168.2
75,2,[31],[56],6426.0
76,2,[46],[56],7924.5
77,4,"[2, 24, 31]",[29],6884.0
79,4,[56],"[39, 42, 43]",7648.5
81,17,"[7, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 29, 60]",[11],7494.0
84,2,[],"[40, 43]",7277.0
87,4,[0],"[39, 40, 41]",7660.5
88,3,"[15, 45]",[28],8154.0
89,4,[17],"[21, 28, 36]",7595.0
90,3,"[4, 11]",[27],7997.0
92,3,[0],"[40, 43]",7348.666666666667
94,3,[1],"[37, 38]",7549.333333333333
96,2,[43],[37],7186.0
107,3,"[37, 51]",[20],6170.333333333333
108,4,[1],"[26, 27, 28]",7516.5
109,5,[],"[22, 23, 24, 26, 30]",7886.8
113,4,[],"[34, 35, 36, 37]",7290.0
114,2,[29],[58],6969.5
115,2,[],"[38, 39]",8150.5
118,5,[],"[39, 55, 56, 58, 59]",7027.8
121,1,[49],[],8183.0
125,7,[40],"[9, 42, 43, 47, 55, 56]",7212.571428571428
129,3,[2],"[49, 59]",7010.0
140,3,[4],"[35, 36]",8146.0
143,3,[],"[36, 37, 39]",7931.666666666667
146,2,[20],[45],7726.0
149,3,"[15, 36]",[14],7392.333333333333
153,2,[1],[6],7475.5
155,4,[8],"[36, 37, 46]",7644.75
156,5,[0],"[42, 43, 44, 45]",8070.4
157,1,[6],[],8178.0
158,3,[0],"[46, 47]",8063.0
161,1,[57],[],7348.0
162,4,[0],"[15, 27, 28]",7196.5
163,0,[],[],0
166,3,"[0, 16]",[54],5992.666666666667
168,3,[4],"[36, 37]",8149.666666666667
172,2,[24],[40],6558.0
173,3,[2],"[51, 52]",8161.666666666667
178,3,[],"[47, 49, 50]",7752.333333333333
179,3,"[58, 60]",[44],7399.666666666667
186,5,[28],"[15, 44, 45, 46]",6885.8
187,2,[],"[44, 49]",7217.5
188,5,[15],"[23, 39, 41, 46]",7109.0
189,5,[0],"[29, 43, 44, 45]",7682.4
190,3,[61],"[42, 50]",7743.333333333333
194,4,"[35, 47, 48]",[47],8062.25
195,8,[],"[4, 5, 6, 8, 9, 22, 49, 54]",7586.0
200,1,[55],[],6040.0
205,6,"[31, 32, 37, 38, 44]",[23],7371.5
207,14,"[0, 1, 9, 15, 16, 17, 19, 26, 27, 42, 46, 52, 59]",[7],7414.714285714285
210,4,[1],"[43, 44, 45]",7780.0
214,2,[1],[51],7412.5
218,4,[1],"[48, 49, 60]",7814.75
219,3,[0],"[47, 48]",8183.0
220,6,[],"[34, 35, 36, 37, 38, 47]",8156.833333333333
221,1,[26],[],8164.0
226,3,[],"[22, 36, 38]",7277.333333333333
229,4,[0],"[47, 48, 51]",7851.5
230,5,[41],"[19, 25, 26, 49]",6785.8
241,1,[2],[],8133.0
242,4,"[3, 4, 40]",[58],7475.75
247,3,[],"[40, 42, 43]",7243.0
251,3,[],"[2, 51, 52]",7723.0
255,3,[],"[53, 56, 57]",7484.666666666667
258,4,[6],"[46, 53, 54]",7739.0
266,3,"[48, 63]",[14],7682.0
267,3,[],"[31, 32, 33]",7682.0
268,4,[1],"[45, 46, 47]",6940.0
269,2,[30],[57],7639.5
270,3,[2],"[36, 45]",8037.666666666667
271,3,"[9, 13]",[25],7027.666666666667
272,7,"[17, 18, 19, 20, 26, 32]",[8],7400.428571428572
273,2,[],"[8, 16]",6832.5
274,3,"[6, 14]",[37],7975.333333333333
275,1,[14],[],8148.0
278,2,[],"[43, 44]",7243.0
280,4,[22],"[31, 46, 47]",7549.25
281,4,[10],"[8, 22, 27]",7369.0
284,3,[0],"[44, 51]",8171.333333333333
285,3,[17],"[39, 46]",7478.666666666667
291,1,[19],[],7720.0
293,4,[0],"[42, 43, 60]",7786.0
296,3,"[27, 32]",[46],7151.0
297,3,"[5, 11]",[34],7613.333333333333
304,3,[46],"[24, 47]",7689.333333333333
306,4,"[17, 29, 39]",[61],7548.75
309,9,[0],"[19, 30, 34, 35, 36, 38, 44, 48]",7421.777777777777
321,25,[20],"[0, 3, 8, 14, 15, 26, 28, 29, 30, 31, 32, 34, 36, 40, 41, 42, 43, 45, 46, 50, 51, 57, 58, 62]",7392.16
322,4,[],"[33, 35, 36, 37]",7624.25
324,5,[1],"[10, 31, 37, 38]",7351.8
327,3,[50],"[21, 22]",7864.333333333333
329,1,[38],[],6344.0
331,4,[],"[33, 34, 35, 36]",8158.0
334,3,"[56, 57]",[63],8119.333333333333
336,2,[8],[45],7223.0
345,4,[1],"[46, 51, 52]",7699.25
349,5,"[19, 27, 54, 62]",[32],7749.6
354,4,[0],"[26, 27, 30]",7950.0
356,3,"[0, 11]",[51],7752.666666666667
357,3,[2],"[39, 43]",7683.0
361,3,[],"[11, 37, 46]",6146.333333333333
363,4,[],"[45, 46, 47, 49]",7123.5
367,2,[6],[6],8040.5
379,3,"[2, 15]",[15],7239.666666666667
381,2,[51],[49],7231.5
384,2,[0],[38],7717.5
385,8,"[1, 2, 6, 7, 17, 59, 62]",[6],6917.75
390,3,[6],"[45, 46]",6425.666666666667
391,4,[5],"[32, 35, 62]",6401.0
403,3,[17],"[40, 41]",8036.333333333333
404,2,[1],[27],7389.0
405,3,"[8, 9]",[28],8141.666666666667
406,1,[56],[],8041.0
411,8,[26],"[32, 33, 34, 35, 36, 37, 38]",7676.625
415,1,[],[28],8163.0
416,3,[10],"[12, 35]",7839.333333333333
425,2,[],"[44, 45]",7355.0
429,1,[53],[],8191.0
431,12,"[28, 44, 45, 52, 53, 54, 57, 60, 61, 62, 63]",[49],7218.916666666667
438,3,"[37, 53]",[33],6727.666666666667
442,2,[],"[6, 40]",6622.5
443,3,[9],"[60, 61]",7188.0
446,3,[],"[39, 40, 41]",6907.333333333333
448,5,"[15, 16, 18, 53]",[48],7814.8
454,4,"[2, 15, 20]",[23],8142.5
456,3,[11],"[21, 48]",6704.0
459,1,[31],[],8130.0
461,5,[],"[53, 54, 55, 56, 57]",7372.4
462,3,"[12, 53]",[23],6725.0
465,3,"[5, 6]",[35],8070.333333333333
468,3,"[2, 27]",[8],7701.333333333333
470,2,[],"[38, 40]",7006.5
473,1,[3],[],8153.0
482,4,[3],"[47, 48, 49]",7594.5
483,1,[],[20],8154.0
486,1,[],[53],8118.0
490,3,[],"[42, 45, 52]",6368.0
494,1,[],[8],8150.0
495,6,"[33, 34, 51, 61, 63]",[51],7330.833333333333
496,5,[7],"[32, 33, 37, 39]",8058.8
499,2,[45],[31],8160.0
500,5,"[21, 28, 40, 43]",[45],7748.6
502,3,[],"[18, 32, 34]",7223.0
505,3,[],"[37, 38, 39]",7198.666666666667
512,2,[0],[21],8178.0
515,1,[],[43],7028.0
520,0,[],[],0
522,4,"[5, 6, 50]",[10],6904.0
523,3,[26],"[52, 53]",7096.333333333333
524,3,"[8, 58]",[47],7587.0
529,1,[40],[],8191.0
530,2,[46],[31],7400.5
531,3,[2],"[54, 57]",7370.666666666667
534,5,"[1, 13, 14, 23]",[49],7573.6
538,4,[],"[42, 47, 52, 53]",7544.25
543,2,[1],[32],7102.5
546,5,[1],"[6, 30, 31, 35]",7898.8
556,2,[21],[23],8143.0
558,4,[20],"[10, 51, 56]",7042.75
561,5,[43],"[28, 29, 32, 33]",8007.6
562,6,"[43, 44, 45, 46, 48]",[52],7190.833333333333
563,2,[33],[36],7252.0
564,1,[35],[],5854.0
572,4,"[12, 13, 19]",[25],6764.25
576,3,"[10, 49]",[26],8169.333333333333
579,2,[55],[36],8025.0
585,2,[2],[52],7923.5
586,3,[],"[21, 29, 33]",6551.0
587,4,[],"[53, 54, 59, 62]",7234.75
588,4,"[3, 4, 61]",[48],7549.75
590,0,[],[],0
593,1,[43],[],8085.0
594,3,"[37, 41]",[59],6906.0
597,3,[],"[46, 48, 50]",7327.333333333333
599,2,[12],[46],7282.5
600,3,[],"[39, 40, 41]",7967.0
602,1,[],[42],8160.0
609,4,[15],"[30, 31, 42]",7503.75
612,3,"[28, 56]",[34],7075.666666666667
614,3,[0],"[27, 28]",7755.0
617,5,[7],"[49, 50, 51, 58]",7657.0
618,3,[57],"[48, 56]",7373.333333333333
623,4,[26],"[3, 18, 44]",7129.75
626,4,"[10, 12, 13]",[47],7570.75
627,5,"[18, 19, 49, 57]",[53],8140.6
633,3,[3],"[52, 55]",6622.0
636,2,[],"[54, 56]",7642.0
637,1,[],[63],6859.0
640,6,[17],"[30, 31, 32, 35, 48]",7374.333333333333
648,9,"[0, 16, 20, 48, 50, 51, 53, 58]",[9],6470.888888888889
651,2,[],"[43, 44]",6845.5
652,3,[22],"[59, 60]",6904.333333333333
657,3,"[21, 51]",[7],6857.666666666667
658,7,[1],"[38, 39, 40, 42, 43, 44]",7833.857142857143
659,11,"[5, 23, 24, 25, 36, 42, 54, 55, 56, 57]",[35],6939.636363636364
661,1,[],[48],7606.0
663,4,[41],"[10, 11, 36]",6850.0
673,3,[0],"[40, 41]",8105.666666666667
675,4,[2],"[44, 45, 46]",7196.5
678,2,[],"[33, 36]",6937.0
688,2,[],"[48, 49]",7432.0
689,3,"[6, 11]",[53],8162.333333333333
693,2,[15],[19],8150.0
698,2,[1],[48],8111.0
700,5,[50],"[7, 12, 48, 52]",7159.8
702,10,[59],"[5, 32, 33, 35, 42, 46, 48, 49, 52]",7096.5
704,7,[0],"[16, 17, 18, 27, 28, 30]",6825.0
710,3,"[26, 44]",[39],7185.0
711,3,"[21, 51]",[34],8131.333333333333
713,3,[17],"[5, 6]",7154.0
717,3,[46],"[13, 48]",6446.666666666667
718,7,[0],"[30, 32, 33, 34, 35, 37]",8030.142857142857
725,6,[8],"[3, 7, 31, 32, 59]",7036.333333333333
736,1,[41],[],8175.0
743,4,"[14, 15, 61]",[30],6910.75
747,2,[1],[55],7540.5
749,9,"[6, 12, 13, 14, 32, 34, 37, 38]",[8],7178.444444444444
750,3,[2],"[38, 44]",8062.666666666667
753,3,"[37, 44]",[48],7693.0
754,3,[0],"[35, 40]",6771.666666666667
755,5,[1],"[40, 41, 42, 56]",7740.4
760,1,[2],[],8133.0
762,4,[55],"[50, 51, 54]",7504.25
763,3,[],"[44, 45, 50]",7932.0
764,3,"[4, 25]",[58],7978.0
767,2,[12],[56],7932.5
769,3,[42],"[21, 38]",7378.333333333333
773,5,[19],"[34, 37, 54, 55]",7413.4
778,3,[53],"[10, 11]",6654.666666666667
779,0,[],[],0
780,3,[52],"[36, 50]",6657.0
784,2,[12],[13],7763.5
786,3,[4],"[17, 54]",7466.666666666667
787,3,[],"[50, 51, 60]",7595.333333333333
791,2,[17],[55],8147.0
792,4,"[14, 15, 32]",[16],7438.25
796,12,"[5, 8, 17, 18, 19, 20, 39, 44, 46, 47, 49]",[62],7439.083333333333
802,3,[0],"[36, 60]",7088.0
804,1,[],[45],7359.0
808,3,[7],"[20, 33]",7267.0
810,1,[26],[],8164.0
813,6,[0],"[30, 33, 34, 37, 38]",7548.0
816,3,"[20, 37]",[23],7466.0
822,10,"[11, 22, 25, 29, 43, 44, 53, 62, 63]",[28],7464.0
829,2,[],"[19, 20]",8164.0
830,0,[],[],0
832,4,[2],"[36, 44, 46]",7125.25
835,3,"[8, 56]",[29],6596.333333333333
842,5,[1],"[44, 45, 46, 49]",7497.6
844,5,[29],"[26, 34, 36, 39]",7115.4
846,4,[61],"[20, 21, 40]",8059.75
847,4,[9],"[23, 34, 38]",7904.5
854,4,[29],"[31, 38, 43]",7823.5
856,3,[57],"[2, 3]",7439.0
857,3,[0],"[38, 39]",8164.0
865,1,[],[44],8132.0
867,4,[],"[51, 52, 53, 54]",8149.0
870,3,[],"[56, 59, 60]",7285.666666666667
880,3,"[8, 9]",[50],7703.0
882,3,[5],"[13, 14]",7732.0
884,2,[6],[24],7468.5
890,6,[],"[43, 44, 45, 46, 47, 48]",7808.666666666667
899,1,[57],[],7839.0
901,4,[61],"[50, 51, 54]",7219.5
903,8,[],"[5, 44, 45, 48, 52, 61, 62, 63]",6890.25
913,6,[1],"[21, 44, 45, 46, 52]",7551.666666666667
915,3,[],"[40, 44, 45]",7628.333333333333
917,4,[11],"[52, 53, 55]",7161.0
922,3,[],"[45, 57, 61]",6938.0
925,1,[],[49],5541.0
926,2,[],"[46, 47]",6975.0
930,5,"[16, 28, 39, 61]",[57],7648.6
931,2,[50],[38],6888.0
947,4,"[2, 3, 34]",[36],8086.5
948,4,[63],"[2, 3, 14]",6858.25
949,2,[56],[16],7077.0
951,4,[],"[0, 27, 40, 52]",7046.25
952,3,[],"[36, 46, 47]",7792.666666666667
955,1,[3],[],8153.0
957,3,[],"[30, 31, 32]",7132.0
962,3,"[32, 33]",[47],7153.666666666667
965,4,"[11, 14, 62]",[20],7562.75
966,4,"[40, 41, 54]",[21],7822.75
971,8,[60],"[34, 40, 42, 59, 61, 62, 63]",7817.375
974,3,[],"[20, 24, 25]",8020.666666666667
985,4,[49],"[56, 58, 60]",7623.75
986,6,[],"[53, 55, 56, 57, 58, 62]",7838.666666666667
988,21,[53],"[5, 11, 12, 25, 26, 27, 28, 31, 38, 39, 40, 41, 42, 43, 44, 50, 51, 53, 54, 63]",7473.333333333333
990,4,[],"[7, 17, 37, 45]",6533.25
993,6,[],"[15, 22, 24, 29, 30, 31]",7340.833333333333
994,3,[21],"[8, 41]",6824.333333333333
995,3,[2],"[52, 56]",6896.333333333333
997,1,[],[36],6550.0
1005,3,[0],"[0, 36]",8158.0
1008,1,[],[26],8156.0
1013,2,[28],[55],8173.0
1015,6,[],"[2, 31, 58, 59, 62, 63]",7123.833333333333
1019,3,[],"[39, 54, 55]",7174.333333333333
1020,1,[10],[],6250.0
1029,2,[21],[5],6604.5
1036,3,[],"[40, 41, 45]",8147.666666666667
1039,1,[52],[],7621.0
1046,3,[20],"[37, 43]",6699.666666666667
1048,1,[38],[],8185.0
1049,3,[4],"[55, 56]",8153.666666666667
1055,2,[],"[35, 36]",7078.0
1056,4,[0],"[42, 43, 45]",7628.25
1058,0,[],[],0
1059,2,[],"[45, 46]",8133.5
1065,2,[5],[45],8161.0
1074,0,[],[],0
1075,4,"[0, 14, 51]",[47],7596.25
1078,3,[3],"[7, 25]",7537.0
1083,3,[6],"[51, 55]",6587.333333333333
1085,7,[4],"[33, 34, 46, 47, 48, 49]",7502.428571428572
1088,6,[58],"[17, 31, 32, 33, 34]",7709.666666666667
1089,2,[],"[38, 41]",7900.5
1091,2,[],"[25, 30]",8177.0
1095,9,"[3, 4, 5, 23, 24, 36, 53, 63]",[12],7917.111111111111
1096,4,[],"[53, 54, 55, 62]",6976.25
1102,2,[5],[45],6880.0
1103,0,[],[],0
1108,3,[],"[50, 54, 55]",8132.0
1117,1,[],[43],5886.0
1130,3,[0],"[11, 12]",7488.666666666667
1136,3,"[51, 52]",[54],7446.666666666667
1139,0,[],[],0
1143,1,[44],[],8169.0
1149,3,[49],"[29, 39]",7475.333333333333
1155,2,[],"[50, 55]",7182.5
1161,3,"[27, 28]",[19],7431.0
1163,3,"[39, 53]",[4],7132.666666666667
1165,3,"[4, 5]",[49],7380.333333333333
1167,1,[],[33],5663.0
1168,4,[2],"[53, 59, 61]",7623.75
1172,3,[],"[35, 37, 38]",7512.666666666667
1174,2,[54],[53],7393.0
1180,2,[],"[34, 41]",7992.5
