EventID,Multiplicity,Hits_Board1,Hits_Board2,Mean_ADC
4,2,[],"[36, 37]",8145.5
7,2,[17],[28],7346.0
9,3,[],"[14, 15, 44]",6821.666666666667
10,3,[24],"[50, 54]",8124.666666666667
14,2,[],"[38, 47]",6511.0
17,7,"[7, 21, 22, 23, 24, 30]",[46],7528.714285714285
18,4,[4],"[22, 25, 29]",7884.75
20,3,[17],"[45, 57]",7744.666666666667
21,5,[19],"[4, 30, 31, 32]",7887.4
24,3,"[45, 49]",[32],8178.333333333333
25,4,[3],"[25, 26, 30]",8165.75
26,2,[],"[39, 40]",6902.5
27,15,[50],"[38, 39, 48, 49, 50, 55, 56, 57, 58, 59, 60, 61, 62, 63]",7625.6
28,4,[59],"[21, 42, 43]",7433.0
29,3,[6],"[42, 55]",6969.0
32,6,[37],"[35, 42, 43, 46, 61]",7647.5
35,3,[5],"[9, 30]",7474.333333333333
37,3,[38],"[23, 45]",7978.333333333333
38,1,[],[51],6677.0
43,3,[],"[43, 51, 53]",7396.333333333333
45,6,"[5, 17, 27, 38, 52]",[41],7525.833333333333
49,4,[33],"[0, 3, 22]",7304.25
50,7,"[4, 5, 11, 17, 38, 41]",[27],6990.857142857143
53,3,[],"[46, 47, 51]",7697.333333333333
56,2,[51],[45],7289.5
57,3,"[34, 49]",[55],7618.333333333333
58,2,[0],[61],7121.5
59,4,[13],"[42, 53, 57]",7721.0
64,0,[],[],0
67,3,"[1, 25]",[47],7967.0
68,5,[1],"[35, 53, 54, 55]",7523.4
69,4,"[6, 29, 31]",[54],6976.75
71,6,"[2, 3, 17, 18, 42]",[50],7243.833333333333
73,3,"[0, 34]",[20],7779.0
83,3,[36],"[3, 50]",6420.333333333333
89,4,[],"[0, 34, 55, 56]",6754.5
92,1,[],[19],5823.0
96,4,[2],"[42, 55, 56]",7988.25
103,3,[],"[28, 29, 30]",8081.333333333333
106,5,[28],"[15, 27, 30, 31]",7618.8
108,3,"[8, 38]",[22],7801.0
109,3,"[40, 52]",[30],7227.333333333333
