EventID,Multiplicity,Hits_Board1,Hits_Board2,Mean_ADC
8,2,[6],[39],424.0
12,3,"[0, 7]",[60],288.3333333333333
16,6,"[6, 7]","[25, 26, 27, 56]",327.8333333333333
18,1,[21],[],321.0
36,4,"[12, 42]","[20, 27]",340.25
50,3,"[2, 3]",[34],270.3333333333333
52,6,[15],"[25, 26, 55, 56, 58]",267.0
54,2,[],"[17, 39]",259.5
55,2,[9],[46],308.0
58,0,[],[],0
70,7,"[5, 15]","[48, 49, 50, 51, 52]",349.2857142857143
77,2,[],"[27, 54]",254.0
78,1,[],[38],286.0
79,4,"[27, 28, 38]",[18],301.5
85,1,[6],[],309.0
86,3,[22],"[47, 48]",269.6666666666667
92,6,[59],"[39, 40, 44, 45, 48]",299.3333333333333
93,4,"[6, 23, 24]",[24],269.0
96,1,[],[62],327.0
101,3,[9],"[7, 33]",292.6666666666667
108,3,[12],"[4, 26]",356.0
109,4,"[7, 24]","[17, 20]",290.75
116,6,"[27, 42]","[0, 12, 13, 14]",348.5
119,6,"[10, 11, 12, 13, 26]",[0],405.8333333333333
129,4,[],"[31, 35, 36, 37]",281.0
133,5,"[11, 44]","[31, 50, 51]",276.2
135,7,"[0, 2]","[18, 19, 20, 47, 50]",332.14285714285717
145,2,[4],[57],340.5
147,4,[],"[57, 60, 62, 63]",294.25
153,5,[8],"[21, 30, 31, 36]",299.6
156,1,[13],[],236.0
162,3,[10],"[18, 19]",304.6666666666667
183,6,"[6, 13]","[14, 16, 17, 33]",315.3333333333333
184,5,[],"[36, 37, 38, 39, 40]",453.0
188,5,"[0, 5, 12, 13]",[61],285.4
199,2,[16],[61],321.5
210,4,"[12, 13]","[48, 60]",322.0
211,2,[1],[49],354.0
215,0,[],[],0
228,5,"[11, 12]","[43, 57, 63]",291.0
229,3,[2],"[43, 44]",403.3333333333333
231,2,[46],[19],303.0
235,1,[34],[],367.0
238,9,"[11, 14, 15, 18, 19, 27, 40]","[32, 38]",288.44444444444446
277,0,[],[],0
296,3,"[18, 19]",[34],253.0
299,0,[],[],0
314,4,"[21, 22, 23]",[57],352.75
318,3,[],"[22, 23, 24]",382.6666666666667
319,3,"[1, 2]",[32],325.6666666666667
321,2,[],"[24, 25]",402.5
326,2,[],"[56, 57]",266.5
328,4,"[26, 49]","[14, 19]",327.25
333,0,[],[],0
334,4,[],"[42, 43, 52, 53]",279.5
347,5,"[0, 5]","[56, 57, 58]",312.4
351,5,"[21, 48, 49, 59]",[59],307.2
352,4,[23],"[37, 57, 58]",354.0
354,1,[],[40],339.0
357,2,[62],[0],297.5
370,4,"[8, 27]","[49, 50]",281.25
371,1,[19],[],324.0
378,1,[17],[],322.0
381,0,[],[],0
384,6,"[46, 58, 59, 61]","[9, 10]",270.0
386,5,"[1, 2, 3]","[52, 53]",347.4
388,7,[3],"[9, 37, 41, 42, 43, 44]",356.14285714285717
397,0,[],[],0
409,6,"[8, 44]","[26, 36, 38, 39]",297.5
424,3,[2],"[25, 26]",266.3333333333333
426,2,[62],[52],314.5
436,3,"[0, 30]",[0],246.0
442,5,"[2, 3, 43]","[5, 22]",322.6
445,7,"[4, 7]","[21, 32, 33, 51, 56]",301.0
455,4,"[28, 29]","[21, 22]",280.0
456,1,[],[37],303.0
460,1,[40],[],256.0
470,3,"[26, 27]",[1],290.6666666666667
474,2,"[8, 9]",[],282.5
475,4,[1],"[5, 6, 7]",293.0
483,0,[],[],0
495,4,[],"[55, 56, 57, 60]",282.5
498,4,[],"[54, 55, 58, 59]",289.5
506,6,[0],"[51, 54, 55, 57, 61]",298.5
508,1,[],[54],259.0
513,2,[14],[22],316.5
528,3,[],"[41, 56, 63]",320.3333333333333
532,4,"[4, 8]","[40, 43]",289.5
534,3,[18],"[61, 62]",279.3333333333333
540,0,[],[],0
548,5,[],"[35, 36, 42, 44, 50]",295.8
552,1,[18],[],255.0
555,0,[],[],0
556,4,[0],"[47, 58, 59]",268.75
561,5,"[4, 23, 24, 25]",[5],295.0
563,3,[7],"[19, 46]",283.0
566,3,[17],"[4, 59]",277.3333333333333
574,2,[16],[20],334.0
575,3,[45],"[11, 12]",320.0
584,3,[2],"[34, 37]",286.0
588,6,[4],"[25, 41, 42, 44, 45]",276.3333333333333
594,6,"[32, 33]","[39, 53, 54, 57]",282.0
603,2,[4],[52],289.0
606,0,[],[],0
621,3,"[28, 29]",[15],321.6666666666667
626,4,"[17, 18]","[2, 3]",295.75
627,4,[0],"[42, 43, 57]",268.0
629,1,[22],[],267.0
647,3,[40],"[4, 5]",288.6666666666667
655,0,[],[],0
656,4,"[31, 32]","[42, 43]",310.0
665,3,"[5, 41]",[56],277.0
670,3,[52],"[13, 46]",359.6666666666667
675,2,[19],[17],329.0
677,2,"[24, 25]",[],274.0
680,2,[0],[38],320.0
684,2,[47],[10],292.0
696,2,[4],[27],316.5
698,3,"[8, 28]",[15],353.0
708,1,[],[29],308.0
711,3,[8],"[11, 12]",324.0
716,4,"[4, 24]","[2, 3]",279.25
721,5,"[6, 10]","[17, 37, 38]",314.0
722,5,"[1, 12]","[3, 4, 13]",305.6
