EventID,Multiplicity,Hits_Board1,Hits_Board2,Mean_ADC
1232,3,"[8, 24]",[9],7429.666666666667
1245,1,[33],[],6339.0
1247,1,[],[54],7130.0
1256,2,[5],[29],7616.0
1257,5,"[9, 10, 11, 37]",[51],7297.4
1265,2,[5],[32],7828.5
1276,4,[5],"[2, 16, 23]",6527.75
1286,0,[],[],0
1311,3,"[0, 37]",[53],8092.333333333333
1314,5,[],"[0, 32, 34, 36, 44]",7315.2
1318,3,[8],"[37, 51]",7556.333333333333
1320,1,[],[48],6558.0
1331,1,[],[61],8145.0
1351,1,[],[49],7428.0
1356,9,[0],"[16, 20, 21, 22, 23, 28, 30, 35]",7708.0
1358,1,[2],[],6280.0
1359,3,[2],"[4, 15]",8136.0
1360,10,[],"[16, 19, 22, 23, 24, 26, 27, 30, 31, 44]",6967.3
1361,3,[4],"[35, 39]",7487.333333333333
1363,3,[25],"[22, 58]",7003.333333333333
1376,3,"[3, 55]",[22],7261.666666666667
1381,2,[3],[60],7427.5
1391,3,[],"[53, 54, 55]",8004.333333333333
1403,5,[0],"[15, 42, 53, 60]",7376.6
1405,2,[7],[13],8179.0
1407,5,[],"[26, 27, 28, 29, 32]",7565.8
1408,1,[9],[],7588.0
1412,2,[3],[41],7179.0
1416,2,[],"[44, 62]",5604.5
1420,2,[24],[48],6943.0
1421,2,[],"[40, 41]",7652.0
1426,4,[16],"[34, 38, 39]",8159.75
1428,1,[28],[],8188.0
1439,2,[],"[60, 61]",8168.0
1441,1,[],[57],8141.0
1442,5,"[15, 16, 17, 22]",[2],7483.4
1465,1,[],[41],8147.0
1466,1,[41],[],6030.0
1471,0,[],[],0
1473,2,[8],[17],7490.5
1477,7,[2],"[34, 35, 36, 37, 39, 40]",7397.142857142857
1493,2,[60],[59],7120.5
1506,2,[],"[31, 34]",6618.0
1508,4,[52],"[45, 46, 48]",7226.75
1512,3,[],"[40, 46, 47]",7491.0
1513,2,[4],[48],6741.0
1521,4,"[2, 3, 18]",[1],7976.75
1522,3,[33],"[32, 33]",7606.666666666667
1527,3,[11],"[29, 30]",7141.0
1532,1,[18],[],8168.0
1541,2,[5],[36],6988.5
1549,2,[7],[29],6917.5
1555,1,[3],[],8153.0
1562,4,[],"[2, 20, 31, 35]",7335.75
1563,4,"[0, 1, 2]",[61],7066.0
1569,3,[2],"[49, 51]",7633.333333333333
1570,2,[43],[22],8128.0
1572,2,[15],[21],6867.0
1577,3,"[0, 1]",[19],8174.0
1592,1,[52],[],6204.0
1601,0,[],[],0
1604,2,[],"[10, 39]",6828.0
1611,2,[5],[15],7284.5
1616,2,[14],[10],8169.5
1617,4,[1],"[54, 56, 61]",7319.75
1619,2,[],"[8, 11]",8068.5
1621,2,[7],[48],7422.0
1622,4,[],"[42, 45, 46, 48]",7312.75
1625,0,[],[],0
1644,3,[8],"[23, 24]",5844.0
1647,2,[2],[52],8147.0
1652,2,[38],[7],6934.5
1657,1,[8],[],6747.0
1661,1,[],[13],7150.0
1679,3,[1],"[50, 53]",7910.666666666667
1680,3,"[7, 8]",[10],8074.0
1681,1,[1],[],7111.0
1682,2,[8],[41],8169.0
1687,1,[1],[],8157.0
1690,2,[],"[17, 18]",7965.0
1697,3,[],"[31, 35, 36]",7597.333333333333
1701,1,[41],[],8003.0
1703,2,[20],[4],5894.5
1710,0,[],[],0
1714,2,[],"[13, 14]",7150.0
1715,3,"[0, 24]",[39],6823.0
1720,3,"[12, 13]",[46],7160.0
1734,1,[3],[],6068.0
1749,2,[29],[17],6989.0
1758,2,[32],[1],7924.5
1759,3,"[18, 59]",[46],7610.666666666667
1776,3,[47],"[46, 50]",7333.666666666667
1789,0,[],[],0
1790,2,[13],[34],7448.5
1793,2,[28],[2],7035.5
1797,2,[23],[0],6676.0
1802,3,[],"[27, 48, 49]",7451.666666666667
1803,4,[12],"[19, 39, 40]",7271.25
1805,4,[10],"[50, 51, 55]",7479.75
1817,3,[0],"[10, 11]",7325.333333333333
1822,2,[49],[38],6957.0
1849,4,[13],"[52, 55, 56]",7368.25
1850,1,[],[12],7585.0
1856,3,[55],"[34, 54]",7365.333333333333
1865,3,[8],"[44, 52]",7317.0
1868,4,[3],"[17, 53, 63]",7285.0
1872,1,[16],[],8150.0
1876,0,[],[],0
1881,2,[44],[4],6868.0
1916,2,[5],[26],7783.0
1921,2,[16],[63],7425.5
1935,3,[],"[55, 58, 60]",7481.333333333333
1943,1,[54],[],5656.0
