EventID,Multiplicity,Hits_Board1,Hits_Board2,Mean_ADC
13,3,[22],"[47, 58]",8160.333333333333
18,2,[61],[62],5990.0
21,0,[],[],0
33,4,"[59, 62, 63]",[56],7424.25
35,3,[42],"[48, 63]",6520.0
36,4,[],"[3, 18, 20, 55]",7948.75
43,1,[],[16],8110.0
48,2,[],"[36, 41]",8142.0
53,7,[52],"[16, 17, 30, 31, 59, 60]",6713.428571428572
67,1,[14],[],6788.0
71,2,[],"[26, 27]",6352.0
80,3,"[54, 59]",[41],8097.0
92,3,[56],"[46, 61]",6969.0
98,1,[],[55],8158.0
99,2,[],"[37, 43]",8172.5
108,2,[44],[16],6964.5
114,2,[1],[57],6753.5
115,0,[],[],0
116,3,[39],"[32, 38]",7371.666666666667
122,3,"[16, 30]",[59],7486.333333333333
135,2,[51],[9],6189.0
137,1,[],[27],8144.0
138,1,[],[46],5926.0
143,1,[56],[],8041.0
144,2,[58],[58],6855.0
150,4,"[48, 62, 63]",[59],8167.25
153,2,[36],[40],6954.5
157,0,[],[],0
165,1,[23],[],6207.0
169,4,[],"[33, 47, 48, 49]",6560.0
174,1,[39],[],6022.0
176,2,[],"[58, 63]",8100.0
181,4,[21],"[27, 28, 44]",7167.5
187,4,[58],"[7, 11, 29]",6176.5
188,1,[],[33],7088.0
189,2,[35],[15],6875.0
219,3,"[17, 18]",[62],7389.0
225,1,[],[16],8110.0
228,2,[52],[19],7570.5
231,2,[30],[49],7300.0
238,5,[44],"[27, 29, 37, 38]",6804.6
245,1,[],[29],5783.0
246,2,[48],[48],6886.5
248,2,[],"[4, 23]",8104.5
249,5,[],"[16, 20, 22, 36, 43]",6156.2
250,2,[14],[15],7504.5
254,3,[44],"[40, 49]",7578.333333333333
255,1,[20],[],6016.0
266,0,[],[],0
267,2,[34],[7],8049.5
270,1,[62],[],6309.0
275,3,"[17, 46]",[28],7133.666666666667
278,1,[],[36],7217.0
290,3,"[48, 53]",[13],7261.0
291,0,[],[],0
298,1,[],[49],6211.0
304,1,[55],[],8101.0
311,1,[10],[],7007.0
312,3,"[41, 47]",[57],7417.666666666667
314,3,[41],"[10, 22]",6450.333333333333
320,1,[],[15],8188.0
326,5,[50],"[20, 21, 22, 47]",7060.4
333,2,[41],[28],7682.0
342,2,[25],[3],5921.0
346,1,[],[17],6624.0
347,0,[],[],0
348,1,[7],[],7404.0
349,2,[61],[30],7639.5
354,0,[],[],0
364,1,[40],[],5961.0
373,3,[16],"[5, 58]",7314.333333333333
379,3,"[21, 58]",[35],5943.666666666667
401,2,[37],[33],7220.0
402,3,[28],"[22, 24]",8159.0
406,1,[40],[],7124.0
409,2,[41],[19],7238.5
410,2,[52],[17],7437.5
417,1,[],[16],6568.0
430,2,[],"[18, 31]",6977.0
432,2,[],"[23, 57]",7088.5
433,3,[39],"[23, 34]",7276.666666666667
434,2,[],"[36, 50]",8124.5
449,1,[19],[],8108.0
453,0,[],[],0
460,7,[46],"[1, 2, 3, 36, 41, 63]",7795.857142857143
471,3,[38],"[17, 36]",7124.0
