EventID,Multiplicity,Hits_Board1,Hits_Board2,Mean_ADC
1503,3,[],"[33, 34, 35]",306.3333333333333
1515,2,[8],[14],422.5
1531,5,"[24, 28, 45, 46]",[45],356.0
1533,1,[],[19],304.0
1537,4,[],"[52, 53, 58, 59]",371.75
1545,1,[32],[],313.0
1547,0,[],[],0
1553,4,[],"[53, 54, 55, 56]",332.25
1561,3,[2],"[51, 52]",470.0
1564,4,"[6, 7, 9]",[50],269.0
1577,5,[63],"[41, 42, 43, 53]",303.0
1580,2,[23],[8],327.5
1590,2,[],"[11, 12]",344.0
1619,4,[13],"[37, 50, 53]",296.25
1621,2,[4],[46],315.5
1644,3,[],"[12, 13, 14]",368.3333333333333
1647,1,[11],[],356.0
1656,0,[],[],0
1668,3,[4],"[6, 7]",290.6666666666667
1680,3,[2],"[30, 47]",313.0
1681,3,"[2, 10]",[39],295.6666666666667
1686,3,[23],"[54, 55]",316.3333333333333
1690,6,[0],"[49, 50, 51, 55, 57]",341.1666666666667
1702,3,[0],"[22, 63]",272.6666666666667
1703,2,[10],[21],337.5
1707,2,[46],[60],303.0
1717,2,[21],[20],308.0
1736,8,"[11, 28, 54, 55, 58, 59, 62]",[36],447.25
1738,0,[],[],0
1772,1,[],[32],301.0
1790,2,[],"[13, 14]",271.0
1802,3,[26],"[4, 25]",294.3333333333333
1813,2,[40],[5],308.5
1815,3,[],"[52, 53, 54]",384.3333333333333
1816,0,[],[],0
1825,3,[32],"[60, 61]",271.0
1838,3,[37],"[25, 26]",280.0
1840,0,[],[],0
1842,3,[38],"[8, 9]",294.3333333333333
1855,4,[],"[41, 42, 44, 45]",332.25
1862,4,[11],"[33, 35, 36]",286.0
1877,2,[4],[9],356.0
1883,1,[15],[],349.0
1889,0,[],[],0
1900,3,"[10, 35]",[15],325.0
1906,3,[],"[0, 15, 16]",252.66666666666666
1912,3,[13],"[11, 12]",285.3333333333333
1914,3,"[57, 58]",[47],262.0
1922,3,"[5, 6]",[34],299.3333333333333
1940,6,[],"[22, 23, 24, 25, 32, 33]",279.8333333333333
1954,3,[13],"[39, 54]",308.6666666666667
1956,6,"[0, 1, 2, 3, 31]",[47],480.0
1965,1,[],[63],242.0
1967,0,[],[],0
1973,0,[],[],0
1981,4,"[44, 45, 49]",[17],298.25
1999,3,[],"[48, 55, 56]",295.6666666666667
2008,0,[],[],0
2032,4,[],"[36, 42, 43, 44]",394.0
2054,4,"[1, 2, 29]",[9],241.25
2057,4,[],"[27, 51, 52, 55]",307.0
2061,3,"[12, 24]",[29],321.0
2071,1,[],[58],243.0
2072,2,[32],[16],282.0
2074,3,"[13, 23]",[24],287.0
2080,3,[],"[47, 48, 49]",325.6666666666667
2097,3,[23],"[35, 59]",502.6666666666667
2101,2,[],"[55, 56]",266.5
2124,1,[],[51],291.0
2129,3,[6],"[40, 41]",266.0
2136,1,[3],[],231.0
2139,1,[0],[],352.0
2142,2,[28],[63],331.5
2154,1,[11],[],324.0
2159,3,[],"[54, 60, 61]",264.6666666666667
2166,4,[28],"[2, 3, 4]",293.5
2181,3,"[33, 42]",[17],322.0
2188,3,"[11, 12]",[14],279.0
2197,2,[8],[47],309.0
2198,7,[15],"[45, 46, 51, 52, 53, 60]",334.0
2199,3,[22],"[13, 14]",310.0
2201,6,[],"[30, 31, 32, 33, 34, 37]",424.5
2218,3,"[62, 63]",[45],266.3333333333333
2221,2,[8],[53],286.0
2223,3,[21],"[53, 54]",289.0
2242,3,"[4, 5]",[63],266.6666666666667
2246,1,[10],[],312.0
2247,4,[],"[41, 43, 45, 46]",294.5
2249,6,[],"[34, 35, 36, 38, 39, 53]",393.1666666666667
2251,4,[],"[51, 52, 55, 60]",335.75
2255,2,[23],[4],315.0
2259,1,[7],[],349.0
2261,3,[19],"[22, 50]",277.3333333333333
2265,3,[9],"[10, 11]",265.3333333333333
2273,1,[],[59],297.0
2274,0,[],[],0
2288,3,[],"[16, 17, 18]",375.6666666666667
2290,2,[32],[17],335.5
2291,4,[],"[17, 47, 48, 49]",304.0
2321,4,[1],"[3, 4, 5]",314.5
2328,2,[],"[26, 27]",297.5
2329,2,[],"[48, 49]",505.5
2335,1,[],[56],306.0
2337,3,"[8, 13]",[36],338.0
2338,2,[],"[46, 47]",265.5
2347,4,[8],"[46, 47, 51]",314.25
2391,3,[],"[16, 26, 29]",282.0
2396,4,[15],"[27, 44, 54]",302.0
2403,5,[2],"[9, 13, 17, 18]",330.6
2415,2,[37],[25],286.0
2425,1,[],[45],247.0
2462,0,[],[],0
2475,2,[42],[0],378.5
2494,1,[7],[],296.0
2504,1,[],[34],261.0
2526,0,[],[],0
2527,4,[4],"[37, 48, 60]",309.0
2531,3,"[7, 8]",[47],270.6666666666667
2539,2,[3],[43],301.0
2545,3,"[23, 24]",[19],508.3333333333333
2550,2,[],"[45, 51]",301.5
2563,1,[49],[],294.0
2575,2,[10],[0],305.0
2578,7,[25],"[30, 31, 32, 39, 42, 43]",348.2857142857143
2579,3,[20],"[36, 56]",327.3333333333333
2595,4,"[7, 22, 35]",[39],323.0
2596,2,[6],[15],539.5
2601,1,[16],[],384.0
2612,1,[],[11],307.0
2621,1,[],[45],271.0
2629,2,[10],[2],283.0
2631,9,[57],"[11, 12, 13, 14, 20, 37, 40, 41]",326.77777777777777
2644,0,[],[],0
2646,3,[17],"[22, 23]",349.0
2664,0,[],[],0
2668,0,[],[],0
2669,3,"[14, 22]",[8],295.3333333333333
2675,2,[],"[43, 44]",261.5
2678,1,[],[21],321.0
2706,3,"[45, 46]",[31],260.6666666666667
2722,3,[10],"[51, 52]",283.0
2737,2,[8],[11],330.0
2754,1,[2],[],303.0
2755,5,"[10, 17, 19, 24]",[41],270.2
2757,9,"[0, 1, 16, 33, 42, 43, 57, 58]",[52],292.44444444444446
2767,2,[33],[8],330.5
2776,4,[14],"[13, 32, 33]",298.25
2778,0,[],[],0
2786,3,[32],"[35, 59]",352.0
2790,2,[27],[13],305.0
2802,0,[],[],0
2809,4,[10],"[6, 12, 13]",324.5
2821,2,[36],[49],298.0
2829,3,[],"[28, 29, 32]",311.6666666666667
2830,6,[14],"[41, 42, 43, 44, 63]",298.3333333333333
2841,3,"[18, 33]",[34],299.3333333333333
2847,0,[],[],0
2850,2,[],"[54, 60]",318.5
2866,4,[2],"[29, 58, 59]",298.5
2878,4,"[15, 16, 17]",[55],338.5
2880,0,[],[],0
2881,4,[],"[28, 31, 32, 48]",295.0
2891,3,[],"[36, 40, 41]",332.6666666666667
2902,3,[7],"[38, 39]",370.0
2916,2,[0],[27],316.0
2923,3,[51],"[5, 41]",335.6666666666667
2932,6,[],"[5, 8, 52, 53, 54, 55]",270.1666666666667
2937,3,"[11, 62]",[18],294.6666666666667
2956,3,"[14, 15]",[62],267.3333333333333
2965,0,[],[],0
2972,0,[],[],0
2974,0,[],[],0
2996,1,[],[38],288.0
3002,2,[3],[10],333.5
3013,2,[],"[58, 59]",355.5
3015,4,[11],"[6, 54, 59]",294.5
3028,2,[21],[19],276.5
3030,2,[3],[51],321.0
3032,3,[3],"[52, 53]",306.0
3039,0,[],[],0
3045,3,[],"[16, 17, 18]",340.3333333333333
3049,3,[2],"[15, 62]",348.0
3057,5,[0],"[28, 29, 30, 55]",367.6
3089,2,[57],[58],317.5
3092,2,[2],[52],341.5
3095,2,[10],[21],338.5
3102,1,[28],[],335.0
3109,0,[],[],0
3116,0,[],[],0
3128,2,[0],[7],340.0
3137,1,[59],[],294.0
3143,3,"[52, 53]",[29],255.33333333333334
3146,3,[],"[43, 44, 45]",548.6666666666666
3148,3,[],"[22, 23, 24]",311.6666666666667
3154,1,[12],[],407.0
3157,3,[],"[48, 49, 51]",267.6666666666667
3158,2,[],"[40, 41]",396.0
3160,1,[],[20],429.0
3177,3,[2],"[14, 15]",272.3333333333333
3179,3,"[7, 8]",[60],279.6666666666667
3186,5,"[25, 29, 30, 46]",[21],279.8
3211,3,"[15, 18]",[22],342.6666666666667
3216,0,[],[],0
3218,0,[],[],0
3220,5,[63],"[43, 57, 58, 61]",339.2
3222,3,"[60, 61]",[43],289.6666666666667
3230,3,[41],"[21, 22]",288.6666666666667
3278,1,[24],[],342.0
3299,4,[0],"[50, 52, 53]",376.0
3308,5,[],"[25, 26, 28, 29, 30]",329.0
3311,2,[8],[54],301.5
3323,3,[],"[3, 10, 22]",247.66666666666666
3347,2,[3],[19],349.0
3350,1,[24],[],341.0
3352,4,[2],"[61, 62, 63]",481.0
3357,7,[0],"[33, 35, 37, 41, 43, 44]",331.14285714285717
3359,3,[],"[3, 39, 40]",246.0
3362,3,[],"[60, 62, 63]",408.3333333333333
3366,3,[17],"[25, 26]",297.3333333333333
3369,5,[],"[30, 31, 35, 36, 38]",321.8
3372,1,[25],[],316.0
3378,3,"[17, 35]",[41],349.6666666666667
3381,1,[6],[],291.0
3386,0,[],[],0
3396,3,"[20, 21]",[3],290.3333333333333
3404,3,"[24, 25]",[19],258.6666666666667
3405,2,[0],[37],352.0
3425,1,[],[14],337.0
3445,3,"[7, 8]",[19],273.6666666666667
3462,0,[],[],0
3471,0,[],[],0
3472,2,[59],[4],316.0
3473,1,[],[61],356.0
3475,2,[2],[43],339.0
3486,2,[],"[28, 29]",259.0
3501,5,[1],"[41, 42, 47, 54]",300.8
3512,3,[3],"[39, 63]",232.0
3540,1,[8],[],350.0
3543,2,[9],[32],308.5
3548,2,[],"[26, 29]",244.5
3549,3,"[10, 14]",[62],342.3333333333333
3552,2,[28],[54],309.5
3559,3,[],"[4, 10, 11]",361.3333333333333
3561,1,[],[50],317.0
3564,2,[17],[55],331.5
3565,2,[30],[59],361.0
3573,3,"[4, 5]",[9],277.6666666666667
3589,3,[],"[60, 61, 62]",343.6666666666667
3595,3,"[0, 1]",[9],368.0
3600,4,[15],"[28, 29, 46]",354.0
3609,7,[],"[11, 21, 24, 25, 37, 42, 43]",293.0
3610,1,[26],[],284.0
3613,5,[24],"[23, 27, 33, 34]",310.2
3627,1,[18],[],297.0
3635,3,[3],"[12, 25]",307.6666666666667
3636,1,[],[16],258.0
3640,4,[],"[43, 44, 46, 47]",412.75
3647,0,[],[],0
3652,5,[],"[40, 41, 42, 55, 56]",373.8
3654,0,[],[],0
3681,4,"[13, 29, 60]",[15],337.25
3686,3,"[27, 28]",[7],282.6666666666667
3689,0,[],[],0
3691,1,[47],[],227.0
3705,0,[],[],0
3706,1,[20],[],302.0
3708,2,[],"[43, 44]",326.0
3759,3,[],"[44, 45, 49]",290.6666666666667
3760,2,[0],[51],297.0
3766,2,[9],[13],306.5
3781,0,[],[],0
3786,3,"[34, 35]",[30],268.6666666666667
3793,3,[],"[42, 43, 44]",364.3333333333333
3795,1,[],[52],292.0
3819,4,[40],"[7, 8, 32]",296.25
3822,0,[],[],0
3842,4,[0],"[59, 60, 61]",556.25
3843,0,[],[],0
3849,4,"[30, 31, 32]",[37],311.5
3851,0,[],[],0
3868,4,[],"[0, 11, 12, 13]",280.75
3874,3,"[7, 8]",[0],247.0
3881,3,"[39, 41]",[59],273.3333333333333
3886,3,"[3, 4]",[10],330.6666666666667
3895,5,"[21, 22, 30, 34]",[28],334.0
3896,3,"[5, 6]",[8],269.3333333333333
3899,3,[1],"[36, 38]",380.6666666666667
3903,1,[3],[],304.0
3906,2,[],"[43, 44]",400.5
3934,4,[],"[12, 13, 46, 48]",246.25
3950,5,[],"[29, 30, 61, 62, 63]",368.6
3958,2,[19],[17],333.5
3963,3,[],"[46, 47, 52]",274.0
3965,3,[5],"[5, 14]",331.3333333333333
3966,0,[],[],0
3979,5,"[10, 11, 26, 27]",[11],277.4
3984,3,"[1, 2]",[6],297.0
3990,3,[40],"[16, 17]",266.3333333333333
3991,3,[34],"[36, 49]",295.0
4002,8,[50],"[31, 32, 33, 34, 35, 36, 49]",373.125
4016,3,[],"[16, 18, 19]",309.6666666666667
4053,4,[1],"[19, 20, 21]",283.0
4058,0,[],[],0
4060,3,[38],"[42, 43]",286.0
4064,6,[10],"[5, 41, 42, 57, 58]",273.5
4071,4,[0],"[21, 22, 42]",534.25
4088,2,[27],[7],306.0
4091,5,[7],"[20, 43, 44, 62]",282.8
4114,2,[0],[51],305.0
4122,3,[],"[38, 39, 52]",312.0
4126,3,"[10, 13]",[4],338.6666666666667
4128,2,[8],[60],310.0
4137,4,[3],"[50, 52, 53]",291.0
4149,4,[],"[58, 59, 61, 63]",290.25
4154,7,[1],"[45, 50, 51, 52, 53, 56]",328.0
4161,2,[59],[63],284.0
4162,1,[],[8],281.0
4177,3,[8],"[37, 38]",418.0
4182,4,"[10, 12, 13]",[60],276.5
4207,4,[],"[11, 12, 17, 30]",296.0
4208,2,[28],[13],329.0
4219,2,[34],[15],315.5
4221,3,"[8, 39]",[7],293.6666666666667
4233,1,[],[44],295.0
4245,3,[],"[41, 48, 49]",285.6666666666667
4246,2,[28],[10],293.5
4249,6,[4],"[46, 47, 52, 53, 54]",296.3333333333333
4253,2,[],"[44, 45]",545.0
4287,2,[],"[35, 37]",371.5
4295,3,[11],"[28, 29]",283.0
4306,6,"[30, 31, 32, 33, 34]",[14],497.6666666666667
4316,2,[],"[22, 23]",518.0
4318,3,"[10, 11]",[16],314.6666666666667
4332,3,[1],"[11, 12]",335.6666666666667
4334,2,[],"[27, 28]",445.0
4349,3,"[10, 11]",[57],309.3333333333333
4355,2,[14],[58],272.5
4358,6,"[25, 26, 27, 32, 33]",[54],310.0
4378,2,[21],[51],354.5
4383,3,[],"[17, 20, 21]",324.3333333333333
4385,2,[],"[25, 26]",261.5
4389,2,[23],[20],348.5
4393,0,[],[],0
4395,3,"[8, 9]",[48],277.0
4397,0,[],[],0
4398,2,[57],[18],307.5
4400,0,[],[],0
4410,3,[28],"[12, 13]",296.3333333333333
4416,5,"[11, 12, 29, 44]",[10],257.0
4418,1,[3],[],322.0
4421,1,[],[4],362.0
4424,2,[16],[60],272.0
4438,6,"[2, 5, 6, 9, 10]",[14],287.8333333333333
4442,2,[24],[24],289.0
4451,3,"[10, 44]",[36],284.0
4474,5,[],"[9, 10, 11, 18, 19]",288.0
4497,7,[0],"[33, 39, 40, 43, 55, 56]",310.85714285714283
4513,0,[],[],0
4519,13,[6],"[15, 16, 18, 19, 20, 21, 22, 25, 26, 29, 30, 57]",366.84615384615387
4527,0,[],[],0
4528,0,[],[],0
4531,10,[10],"[19, 20, 23, 24, 25, 37, 38, 48, 49]",318.4
4532,4,"[2, 31, 32]",[6],300.5
4533,5,[34],"[24, 25, 26, 27]",355.8
4534,3,[],"[33, 40, 41]",317.6666666666667
4535,2,[3],[29],330.5
4554,3,[19],"[5, 6]",253.33333333333334
4588,2,[63],[59],313.0
4590,3,[1],"[8, 9]",452.6666666666667
4595,6,[4],"[26, 27, 37, 39, 44]",299.5
4597,2,[6],[8],319.0
4610,1,[],[26],320.0
4613,5,[],"[22, 23, 24, 25, 26]",291.6
4622,2,[],"[50, 51]",261.5
4642,4,"[20, 21, 61]",[11],299.0
4646,3,[],"[50, 51, 52]",368.3333333333333
4656,0,[],[],0
4665,3,"[0, 1]",[8],287.6666666666667
4678,2,[59],[59],298.0
4684,4,[5],"[8, 9, 10]",424.25
4706,4,[1],"[20, 43, 44]",328.0
4714,9,[],"[33, 34, 35, 36, 37, 38, 42, 43, 44]",351.8888888888889
4727,1,[],[39],284.0
4730,2,[9],[28],320.0
4737,4,[],"[23, 41, 42, 43]",479.75
4739,0,[],[],0
4740,1,[8],[],332.0
4742,2,[24],[38],328.5
4753,0,[],[],0
4762,3,[],"[42, 52, 55]",279.6666666666667
4785,2,[],"[8, 9]",380.0
4789,3,[60],"[2, 3]",368.6666666666667
4794,1,[12],[],381.0
4807,4,"[17, 56, 57]",[15],262.25
4814,4,[],"[22, 23, 25, 35]",304.75
4828,2,[],"[47, 56]",406.5
4829,3,"[14, 42]",[39],310.0
4833,3,[0],"[38, 48]",289.6666666666667
4837,2,[2],[39],394.0
4842,1,[56],[],303.0
4845,0,[],[],0
4871,0,[],[],0
4886,0,[],[],0
4889,3,[11],"[16, 17]",323.3333333333333
4892,3,[2],"[61, 62]",267.0
4896,3,[34],"[29, 30]",306.6666666666667
4903,8,[24],"[31, 41, 42, 44, 45, 54, 55]",347.5
4906,0,[],[],0
4907,4,"[29, 30, 46]",[8],282.0
4917,2,[7],[31],316.0
4924,1,[],[61],328.0
4936,1,[],[10],317.0
4944,0,[],[],0
4945,2,[19],[6],381.5
4956,0,[],[],0
4961,4,[],"[40, 41, 52, 53]",287.25
4967,2,[44],[62],311.0
4970,2,[56],[58],322.5
4974,7,[0],"[13, 14, 16, 17, 18, 19]",296.57142857142856
4980,1,[22],[],287.0
4982,2,[11],[39],367.5
4984,1,[7],[],307.0
4985,2,[],"[6, 14]",375.5
4992,3,"[28, 29]",[21],292.6666666666667
4994,3,[],"[35, 37, 38]",270.3333333333333
5000,4,"[5, 6, 18]",[4],266.0
5005,2,[11],[12],282.0
5021,3,"[7, 8]",[9],302.3333333333333
5052,7,[],"[12, 13, 19, 20, 23, 29, 30]",275.7142857142857
5058,2,[],"[29, 30]",254.5
5062,1,[],[35],298.0
5071,6,[63],"[20, 21, 22, 23, 54]",255.16666666666666
5072,3,"[3, 4]",[48],288.3333333333333
5077,2,[],"[14, 15]",334.5
5088,1,[],[59],232.0
5091,6,[8],"[35, 48, 49, 50, 51]",299.3333333333333
5105,4,[7],"[4, 5, 16]",307.5
5110,2,[49],[41],290.0
5111,2,[56],[63],379.0
5123,2,[33],[43],342.5
5144,3,"[24, 25]",[15],315.3333333333333
5156,3,"[5, 32]",[33],264.6666666666667
5161,4,[24],"[27, 60, 61]",282.5
5175,3,"[2, 15]",[36],300.6666666666667
5176,2,[26],[18],329.0
5201,2,[3],[9],321.5
5212,3,"[5, 20]",[59],295.6666666666667
5228,3,[7],"[14, 15]",298.0
5230,2,[],"[9, 10]",236.5
5235,3,"[6, 7]",[1],296.0
5241,5,[6],"[38, 52, 53, 55]",401.4
5257,5,[9],"[6, 29, 30, 34]",287.2
5268,0,[],[],0
5270,3,"[49, 50]",[53],275.6666666666667
5279,1,[2],[],226.0
5291,3,[4],"[58, 59]",254.33333333333334
5302,3,[40],"[29, 30]",282.6666666666667
5306,3,[16],"[17, 48]",301.3333333333333
5307,3,[10],"[13, 14]",289.0
5308,5,[19],"[52, 53, 59, 60]",314.6
5332,1,[15],[],398.0
5336,5,[2],"[43, 48, 49, 56]",306.4
5337,2,[27],[12],336.5
5365,3,[1],"[23, 24]",403.6666666666667
5366,0,[],[],0
5375,3,"[15, 16]",[25],290.3333333333333
5379,2,[0],[60],324.5
5380,3,[0],"[12, 13]",274.0
5384,2,[52],[20],274.5
5393,4,[44],"[6, 48, 49]",292.5
5395,2,[],"[37, 39]",283.0
5400,2,[35],[61],291.0
5418,1,[],[60],310.0
5434,3,[1],"[32, 33]",294.3333333333333
5466,3,"[26, 36]",[0],303.3333333333333
5467,3,[37],"[11, 12]",285.0
5476,2,[30],[33],297.0
5493,5,[],"[40, 42, 43, 44, 45]",418.0
5495,2,[],"[21, 22]",398.5
5510,0,[],[],0
5512,0,[],[],0
5513,5,[1],"[9, 13, 14, 20]",279.4
5536,3,"[34, 35]",[13],526.6666666666666
5541,2,[],"[6, 7]",245.0
5544,4,"[31, 34, 35]",[59],300.5
5554,6,[],"[35, 36, 38, 39, 40, 41]",323.5
5555,2,[22],[1],319.0
5560,3,[26],"[21, 22]",281.6666666666667
