EventID,Multiplicity,Hits_Board1,Hits_Board2,Mean_ADC
3,1,[],[6],7467.0
7,3,[17],"[24, 25]",7117.0
18,4,"[40, 41, 63]",[50],6869.5
31,2,[22],[50],7121.5
37,2,[6],[52],7890.0
39,4,"[4, 13, 55]",[29],7132.75
40,1,[36],[],8179.0
42,1,[4],[],6394.0
47,4,[41],"[7, 11, 56]",6866.5
51,3,"[18, 60]",[28],6840.666666666667
52,5,[],"[13, 17, 18, 19, 45]",6795.2
69,4,"[7, 8, 40]",[33],8184.25
72,3,"[20, 21]",[61],7356.0
75,5,[22],"[10, 11, 12, 59]",7192.2
81,0,[],[],0
82,1,[],[24],5630.0
95,5,"[0, 7, 8, 18]",[18],7164.2
97,1,[],[43],5686.0
102,7,[27],"[34, 35, 37, 39, 59, 60]",6801.428571428572
103,3,[],"[19, 54, 58]",7083.0
105,4,"[29, 33, 40]",[8],7229.25
112,3,[50],"[10, 16]",6541.666666666667
123,3,"[33, 41]",[16],7498.0
129,4,"[15, 34, 35]",[10],7007.5
130,2,[],"[58, 59]",8158.0
133,3,[11],"[43, 44]",7673.0
134,1,[],[56],8145.0
139,4,"[2, 3, 4]",[21],7201.25
161,5,[27],"[37, 38, 39, 49]",7103.2
177,29,[9],"[0, 5, 11, 16, 25, 31, 32, 33, 34, 35, 36, 37, 38, 44, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]",7818.827586206897
180,2,[11],[49],6289.0
188,4,[],"[43, 44, 45, 53]",7808.75
195,2,[],"[19, 20]",7277.0
198,8,[],"[17, 19, 26, 27, 39, 42, 43, 44]",6519.5
199,4,"[52, 59, 60]",[22],7437.5
203,3,[0],"[11, 12]",7818.666666666667
211,3,[0],"[50, 56]",7020.0
214,0,[],[],0
215,8,"[1, 9, 17, 18, 24, 33, 42]",[39],7605.75
217,0,[],[],0
222,12,"[17, 18, 22, 27, 28, 29, 31, 32, 33, 52, 61]",[8],7051.916666666667
223,3,"[8, 48]",[2],8170.333333333333
232,2,[],"[10, 11]",8191.0
236,5,[13],"[14, 43, 50, 55]",7510.0
238,3,[],"[33, 40, 54]",7040.0
247,3,[],"[8, 9, 10]",7712.666666666667
252,5,"[8, 13, 14, 48]",[2],6907.8
254,7,[29],"[3, 5, 6, 16, 17, 24]",7613.428571428572
269,3,"[43, 57]",[48],6129.0
274,2,[4],[31],8152.5
275,3,[],"[8, 10, 25]",7196.666666666667
287,1,[],[52],5695.0
293,1,[50],[],8185.0
296,2,[],"[6, 38]",7458.0
300,3,"[5, 6]",[59],7079.666666666667
310,7,"[1, 19, 26, 27, 28, 43]",[37],7733.142857142857
320,3,"[13, 47]",[22],7504.666666666667
332,2,[],"[57, 58]",8153.5
333,3,[],"[4, 48, 51]",7795.666666666667
339,7,"[4, 33, 35, 51, 52, 62]",[27],7186.285714285715
354,3,"[40, 47]",[3],7507.333333333333
360,5,[],"[2, 4, 13, 38, 43]",7397.4
363,2,[],"[40, 42]",6516.0
371,3,"[1, 2]",[7],7567.333333333333
373,2,[],"[54, 58]",6914.0
377,3,[],"[53, 54, 62]",7185.0
388,1,[],[63],6740.0
389,7,[46],"[28, 29, 33, 34, 40, 45]",7696.857142857143
