EventID,Multiplicity,Hits_Board1,Hits_Board2,Mean_ADC
0,2,[],"[34, 35]",8165.5
2,3,"[27, 36]",[47],7133.0
6,3,[],"[51, 52, 53]",7310.666666666667
7,3,"[11, 22]",[0],7320.0
25,4,[38],"[26, 28, 31]",7530.5
27,2,[9],[8],6926.0
32,1,[],[43],7529.0
34,3,[9],"[37, 62]",6809.333333333333
36,5,"[11, 45, 52, 53]",[12],7435.8
37,2,[],"[43, 45]",8125.5
38,3,"[2, 25]",[25],7935.666666666667
39,1,[],[40],7765.0
41,1,[],[37],7346.0
42,3,[4],"[9, 55]",7392.333333333333
46,2,[],"[30, 31]",8169.0
47,2,[],"[58, 59]",7006.5
49,1,[],[38],5627.0
51,3,"[42, 45]",[16],6976.0
53,3,[4],"[35, 53]",7587.666666666667
54,3,[],"[34, 46, 48]",7140.0
57,3,[47],"[47, 63]",6971.666666666667
58,2,[49],[50],7225.0
59,3,"[5, 18]",[2],7315.0
70,4,[43],"[53, 54, 55]",7448.0
72,4,"[10, 11, 12]",[53],7386.75
73,5,[2],"[50, 55, 57, 60]",7315.2
77,4,[63],"[44, 45, 46]",7316.0
81,2,[54],[9],8029.5
85,2,[18],[44],7920.0
91,4,[7],"[10, 46, 53]",8002.25
92,4,"[5, 14, 15]",[33],7643.5
93,4,[58],"[43, 47, 49]",6678.25
105,4,[],"[50, 54, 56, 57]",7514.5
107,1,[],[47],7560.0
113,3,[],"[38, 39, 41]",6806.333333333333
115,2,[],"[43, 44]",7729.0
117,7,"[9, 10, 20, 36, 51, 62]",[47],7547.142857142857
118,1,[],[47],8167.0
120,5,[9],"[51, 52, 55, 63]",6545.2
121,3,"[23, 30]",[55],7593.333333333333
122,2,[],"[54, 55]",6238.5
125,4,[16],"[56, 57, 58]",8150.5
128,5,[0],"[28, 38, 39, 41]",7710.6
131,4,[6],"[55, 56, 58]",7067.5
132,4,[],"[45, 48, 49, 52]",7636.75
140,3,"[40, 46]",[10],7236.333333333333
143,4,"[4, 12, 13]",[20],7048.0
146,6,[1],"[30, 36, 37, 40, 42]",7512.333333333333
147,3,[24],"[9, 18]",6840.333333333333
154,0,[],[],0
157,5,[50],"[0, 1, 5, 52]",6845.6
159,4,[0],"[36, 40, 41]",7661.0
160,5,[3],"[42, 49, 52, 53]",8017.2
164,3,[18],"[50, 55]",6680.333333333333
167,2,[50],[47],8176.0
169,3,[23],"[18, 31]",7299.0
171,4,[1],"[11, 29, 30]",7758.75
174,4,[53],"[9, 21, 55]",7517.75
176,3,"[14, 48]",[51],8031.666666666667
181,4,"[1, 2, 14]",[12],8139.75
182,2,[8],[56],6964.5
183,2,[],"[55, 56]",7148.5
184,2,[],"[53, 56]",7757.5
189,6,[12],"[45, 48, 49, 51, 58]",8035.333333333333
191,3,[8],"[55, 56]",7638.0
194,2,[63],[24],7656.0
196,4,[2],"[17, 21, 22]",7726.75
197,5,"[2, 5, 11, 13]",[48],6922.6
200,3,"[2, 3]",[36],7076.333333333333
204,3,"[3, 7]",[19],6996.333333333333
210,1,[],[43],8191.0
214,0,[],[],0
215,5,[0],"[46, 47, 48, 49]",7918.8
217,2,[28],[34],6627.5
222,5,[32],"[20, 44, 54, 55]",7200.8
223,4,[3],"[46, 47, 56]",7694.5
224,5,[5],"[10, 18, 39, 56]",7291.0
226,1,[],[50],8112.0
231,3,[],"[29, 30, 31]",7564.0
233,3,[49],"[46, 52]",6883.0
